acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z,temp
0.14,0.91,0.36,1.97,-1.59,1.16,32.48
0.14,0.91,0.35,1.37,-2.06,0.79,32.48
0.15,0.91,0.35,0.96,-2.26,0.72,32.58
0.14,0.91,0.36,0.96,-2.02,0.72,32.62
0.15,0.91,0.34,1.24,-1.4,0.64,32.39
0.14,0.9,0.36,0.95,-1.16,0.44,32.62
0.14,0.9,0.35,0.64,-0.63,0.38,32.53
0.15,0.91,0.35,1.05,-0.32,0.41,32.58
0.15,0.91,0.35,0.56,0.0,0.31,32.62
0.14,0.91,0.34,0.0,-0.63,-0.08,32.53
0.15,0.91,0.34,-0.73,-1.04,-0.21,32.48
0.15,0.91,0.35,0.0,-0.96,-0.47,32.53
0.15,0.91,0.35,-0.09,-0.05,-0.52,32.58
0.14,0.9,0.35,0.05,-0.03,-0.37,32.53
0.14,0.91,0.34,-0.08,0.32,0.02,32.53
0.14,0.91,0.35,0.32,1.13,-0.41,32.58
0.14,0.9,0.36,-1.54,-1.33,-1.45,32.58
0.14,0.9,0.35,-0.75,-1.56,-1.42,32.53
0.15,0.9,0.36,0.14,-1.15,-1.05,32.58
0.15,0.9,0.36,1.18,-0.43,-0.24,32.58
0.14,0.9,0.36,1.47,-0.21,0.26,32.53
0.14,0.91,0.35,1.88,-0.43,0.43,32.58
0.13,0.91,0.35,1.89,-1.51,-0.05,32.44
0.14,0.91,0.35,1.74,-2.61,-0.64,32.62
0.14,0.91,0.35,1.44,-3.5,-1.27,32.48
0.14,0.91,0.34,0.84,-4.02,-1.59,32.53
0.14,0.9,0.34,0.23,-3.92,-1.92,32.48
0.14,0.9,0.34,0.4,-3.31,-1.73,32.44
0.14,0.9,0.35,0.17,-2.21,-1.39,32.53
0.14,0.91,0.34,-0.12,-1.1,-1.21,32.48
0.14,0.91,0.34,0.24,-0.53,-1.13,32.48
0.14,0.91,0.35,-0.2,0.43,-1.57,32.53
0.14,0.92,0.36,-1.34,0.38,-2.29,32.39
0.13,0.92,0.34,-1.69,0.24,-2.43,32.53
0.14,0.91,0.33,-1.56,-0.98,-2.96,32.53
0.14,0.9,0.34,-2.27,-1.07,-2.84,32.48
0.14,0.9,0.33,-1.56,-0.81,-2.34,32.53
0.14,0.91,0.34,-1.15,-0.53,-1.69,32.48
0.15,0.91,0.33,-1.57,-0.82,-1.24,32.58
0.14,0.91,0.34,-2.67,-1.48,-1.1,32.53
0.14,0.91,0.34,-3.05,-1.3,-1.21,32.58
0.13,0.92,0.34,-3.66,-1.27,-0.92,32.58
0.14,0.92,0.34,-4.23,-1.16,-0.4,32.53
0.14,0.91,0.34,-4.24,-0.4,0.17,32.58
0.14,0.92,0.34,-5.21,0.61,-1.42,32.53
0.15,0.94,0.35,-8.53,1.34,-3.19,32.53
0.16,0.93,0.34,-10.72,1.36,-3.89,32.58
0.15,0.91,0.35,-11.82,2.4,-3.57,32.44
0.15,0.89,0.36,-11.4,2.92,-3.36,32.53
0.15,0.91,0.36,-13.01,4.08,-4.47,32.58
0.15,0.9,0.36,-15.47,3.94,-5.8,32.53
0.15,0.91,0.38,-19.34,4.49,-7.56,32.48
0.14,0.89,0.38,-20.89,4.21,-8.05,32.53
0.13,0.89,0.37,-20.63,3.63,-8.08,32.53
0.11,0.9,0.37,-20.99,2.34,-7.91,32.58
0.11,0.9,0.38,-20.93,0.96,-8.64,32.58
0.11,0.88,0.38,-18.44,1.05,-7.66,32.62
0.14,0.89,0.37,-15.18,4.38,-6.34,32.48
0.17,0.88,0.38,-10.46,8.99,-2.05,32.53
0.17,0.86,0.35,-2.64,15.88,4.18,32.53
0.19,0.88,0.3,9.82,24.75,10.27,32.48
0.23,0.87,0.32,22.75,39.54,18.9,32.53
0.25,0.82,0.45,38.4,58.27,30.72,32.44
0.11,0.83,0.51,46.92,68.37,31.69,32.58
-0.02,0.9,0.44,55.05,72.11,27.44,32.53
0.04,1.06,0.38,44.26,84.18,10.38,32.44
0.04,1.05,0.36,37.47,77.54,8.44,32.48
0.02,1.05,0.37,24.7,72.76,-1.1,32.62
0.09,1.05,0.33,14.61,66.84,-18.32,32.53
0.04,0.98,0.33,5.79,53.89,-19.5,32.58
0.14,0.98,0.3,11.19,43.71,-18.7,32.53
0.09,0.94,0.36,14.08,45.39,-14.14,32.48
0.03,0.97,0.34,-1.59,41.16,-20.09,32.58
0.06,0.9,0.33,2.6,25.51,-15.66,32.53
0.0,0.9,0.36,-3.79,18.15,-13.88,32.48
0.04,0.87,0.33,-7.76,13.62,-21.28,32.53
0.04,0.92,0.32,-13.33,0.63,-17.79,32.53
0.04,0.89,0.36,-17.65,-9.07,-17.83,32.48
0.01,0.82,0.31,-16.27,-13.36,-14.18,32.62
0.06,0.92,0.36,-20.81,-14.87,-16.09,32.53
0.05,0.92,0.32,-22.85,-11.53,-18.72,32.58
0.02,0.87,0.33,-22.61,-5.57,-17.92,32.53
0.04,0.92,0.34,-22.5,1.51,-17.77,32.48
0.05,0.88,0.34,-14.5,3.48,-13.88,32.53
0.08,0.9,0.37,-10.08,9.59,-11.51,32.62
0.07,0.91,0.29,-12.26,12.67,-8.55,32.58
0.04,0.87,0.37,-6.09,6.37,-4.24,32.48
0.05,0.89,0.35,-7.31,6.61,-4.08,32.53
0.04,0.89,0.35,-10.55,0.58,-4.76,32.58
0.05,0.92,0.39,-13.39,-2.52,-5.85,32.53
0.06,0.92,0.37,-16.06,-1.18,-5.73,32.53
0.04,0.91,0.37,-18.75,-4.64,-4.55,32.58
0.06,0.89,0.36,-17.97,-2.85,-3.8,32.44
