acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z,temp
0.21,0.9,0.33,-4.08,0.87,-0.38,33.14
0.2,0.9,0.33,-3.69,1.34,-0.46,33.24
0.21,0.89,0.33,-3.36,1.3,0.0,33.14
0.21,0.9,0.34,-3.19,1.15,0.14,33.19
0.2,0.9,0.33,-3.1,1.1,0.03,33.28
0.21,0.9,0.33,-3.02,0.79,-0.09,33.14
0.2,0.9,0.33,-2.7,0.63,0.2,33.19
0.2,0.9,0.33,-2.56,0.7,0.12,33.14
0.2,0.91,0.34,-3.24,0.26,0.0,33.24
0.2,0.9,0.33,-3.79,0.7,0.0,33.14
0.2,0.9,0.33,-3.68,1.13,-0.08,33.19
0.21,0.9,0.34,-2.87,1.01,-0.02,33.24
0.2,0.9,0.34,-3.27,0.64,-0.27,33.14
0.2,0.9,0.34,-3.39,0.43,0.17,33.19
0.2,0.9,0.33,-3.34,0.31,0.12,33.24
0.2,0.91,0.33,-2.89,0.27,-0.14,33.24
0.2,0.9,0.35,-3.76,0.96,0.05,33.14
0.2,0.89,0.34,-3.24,0.6,-0.08,33.19
0.21,0.89,0.34,-2.52,-0.24,-0.02,33.19
0.21,0.89,0.34,-2.64,-0.75,-0.52,33.24
0.2,0.9,0.34,-2.56,-0.73,-0.15,33.28
0.21,0.89,0.34,-2.31,-0.5,0.35,33.19
0.2,0.89,0.33,-2.05,-0.29,0.26,33.24
0.2,0.9,0.34,-1.97,-0.35,0.29,33.19
0.2,0.9,0.34,-2.23,-0.31,-0.09,33.28
0.2,0.9,0.34,-2.35,0.15,0.03,33.24
0.2,0.9,0.34,-2.24,0.49,-0.2,33.24
0.19,0.9,0.35,-2.15,0.61,0.49,33.19
0.2,0.9,0.33,-2.58,0.24,0.41,33.14
0.21,0.9,0.34,-4.14,-0.02,-0.79,33.14
0.2,0.89,0.34,-3.71,-0.75,0.41,33.28
0.2,0.91,0.35,-4.15,0.27,-0.18,33.14
0.2,0.9,0.34,-3.08,1.24,0.29,33.14
0.2,0.9,0.33,-2.64,1.19,0.34,33.19
0.2,0.92,0.34,-3.48,0.52,-1.16,33.28
0.2,0.91,0.34,-4.37,-0.81,-2.61,33.24
0.2,0.89,0.34,-4.79,-1.07,-2.78,33.19
0.2,0.9,0.34,-2.81,-0.14,-1.77,33.14
0.2,0.9,0.33,-2.27,0.06,-1.39,33.24
0.2,0.91,0.33,-3.39,-0.92,-2.34,33.19
0.2,0.91,0.33,-4.79,-1.6,-2.93,33.09
0.19,0.9,0.33,-4.52,-0.78,-1.97,33.14
0.18,0.9,0.35,-3.47,0.58,-1.25,33.14
0.17,0.91,0.36,-3.01,1.21,-0.73,33.19
0.17,0.92,0.36,-3.8,1.4,-1.57,33.14
0.15,0.9,0.37,-2.29,1.21,0.17,33.24
0.15,0.89,0.4,1.44,4.38,4.84,33.19
0.14,0.88,0.38,5.94,8.09,8.69,33.24
0.18,0.9,0.29,8.29,5.62,9.16,33.33
0.22,0.89,0.24,13.51,-1.47,10.75,33.19
0.23,0.92,0.24,14.75,-5.44,10.99,33.28
0.26,0.91,0.26,16.47,-4.2,10.69,33.24
0.29,0.88,0.26,20.37,-2.26,10.67,33.09
0.29,0.8,0.31,22.67,-4.05,9.76,33.19
0.26,0.77,0.36,24.26,-6.24,8.9,33.14
0.24,0.75,0.42,26.0,-5.07,9.44,33.19
0.26,0.74,0.44,33.71,-0.76,17.25,33.19
0.29,0.71,0.48,40.06,3.86,27.42,33.14
0.3,0.72,0.5,41.25,4.79,37.08,33.24
0.32,0.71,0.48,43.4,13.22,46.9,33.19
0.3,0.83,0.43,40.49,24.27,48.24,33.24
0.3,0.93,0.36,26.79,24.95,43.71,33.14
0.29,1.0,0.24,15.5,27.92,39.31,33.19
0.2,1.15,0.17,-5.04,23.05,23.98,33.24
0.14,1.1,0.1,-17.19,14.14,8.76,33.24
0.11,1.07,0.15,-17.25,4.55,0.58,33.19
0.18,1.05,0.15,-22.53,-5.56,-8.92,33.33
0.16,1.02,0.24,-27.77,-11.15,-18.49,33.14
0.16,0.94,0.36,-9.97,5.63,-8.93,33.19
0.22,0.93,0.33,8.81,28.09,1.88,33.19
0.26,0.98,0.22,-7.48,14.52,-8.63,33.33
0.33,0.91,0.21,-28.21,-10.08,-21.44,33.28
0.26,0.94,0.32,-32.41,-0.11,-28.55,33.24
0.21,0.88,0.34,-17.74,27.39,-20.73,33.24
0.2,0.92,0.26,-14.63,26.87,-22.4,33.24
0.23,0.88,0.29,-21.82,13.53,-25.07,33.28
0.18,0.92,0.31,-20.35,15.18,-25.51,33.24
0.18,0.92,0.32,-16.32,22.23,-25.24,33.24
0.18,0.93,0.35,-18.03,19.33,-26.49,33.28
0.19,0.93,0.35,-21.89,14.78,-28.63,33.33
