acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.19,0.81,0.47,-2.18,0.37,-0.70
0.19,0.82,0.47,-2.96,0.12,0.00
0.20,0.81,0.47,-3.10,-0.06,0.41
0.21,0.81,0.47,-2.81,-0.34,0.47
0.21,0.80,0.48,-2.55,-0.03,0.05
0.21,0.80,0.47,-2.43,0.21,-0.17
0.21,0.80,0.47,-1.94,0.84,0.21
0.20,0.80,0.47,-1.69,0.95,0.11
0.20,0.80,0.47,-1.36,0.76,0.41
0.20,0.80,0.48,-1.05,-0.23,0.35
0.19,0.80,0.48,-0.66,-0.67,-1.13
0.19,0.80,0.47,-0.69,-0.52,-2.53
0.20,0.80,0.48,-0.73,-0.26,-3.08
0.20,0.80,0.47,-1.36,0.79,-3.31
0.21,0.81,0.47,-1.50,1.57,-2.26
0.20,0.81,0.47,-1.28,2.11,-1.45
0.20,0.81,0.47,-0.90,2.03,-1.10
0.21,0.81,0.47,-0.14,1.83,-0.61
0.20,0.81,0.47,0.82,1.53,-2.27
0.19,0.81,0.47,1.19,1.01,-1.89
0.20,0.81,0.46,0.66,1.62,-0.90
0.20,0.82,0.45,-0.38,2.76,0.96
0.19,0.81,0.47,-1.08,3.74,1.15
0.19,0.81,0.46,-1.48,3.71,1.22
0.19,0.81,0.46,-1.65,3.28,1.30
0.18,0.81,0.47,-1.11,2.90,1.07
0.19,0.81,0.47,-0.70,2.02,1.22
0.17,0.80,0.48,-0.50,1.30,1.16
0.19,0.81,0.48,-0.78,0.84,1.73
0.20,0.80,0.47,-1.65,1.69,2.27
0.18,0.80,0.48,-1.85,2.37,1.89
0.19,0.81,0.48,-1.82,2.29,1.27
0.19,0.80,0.47,-1.37,1.76,1.16
0.19,0.81,0.46,-1.08,1.77,0.50
0.19,0.81,0.47,-0.81,1.30,-0.89
0.18,0.81,0.47,-1.01,0.43,-2.37
0.20,0.82,0.47,-1.39,0.50,-0.72
0.20,0.81,0.47,-1.65,1.24,-0.63
0.20,0.81,0.46,-1.25,1.01,-0.78
0.20,0.81,0.47,-0.87,1.04,-0.60
0.20,0.80,0.48,-0.50,1.13,-0.69
0.20,0.81,0.47,-0.05,1.33,-0.98
0.19,0.81,0.48,0.08,1.34,-0.78
0.19,0.80,0.48,-0.27,1.98,-0.84
0.19,0.80,0.48,-0.70,1.85,-0.61
0.19,0.80,0.48,-0.79,1.77,-0.14
0.20,0.80,0.48,0.03,1.40,0.32
0.21,0.79,0.47,1.10,0.61,1.27
0.21,0.78,0.50,2.38,0.76,1.82
0.24,0.78,0.49,3.08,1.85,2.26
0.25,0.75,0.50,3.05,3.60,2.21
0.23,0.76,0.46,3.88,9.04,4.37
0.22,0.81,0.45,2.31,14.03,6.11
0.20,0.83,0.46,2.75,15.94,6.55
0.18,0.84,0.45,4.38,13.48,5.95
0.16,0.84,0.46,5.94,9.16,5.76
0.13,0.85,0.46,6.56,6.08,3.85
0.14,0.84,0.46,5.74,3.10,3.47
0.15,0.82,0.46,4.21,1.97,2.67
0.16,0.81,0.46,3.88,1.40,-0.38
0.16,0.80,0.47,4.14,0.27,-2.78
0.17,0.80,0.48,4.61,-1.19,-3.86
0.18,0.80,0.48,4.76,-2.60,-4.75
0.20,0.80,0.49,4.41,-1.77,-6.12
0.21,0.80,0.47,4.12,0.82,-10.14
0.21,0.82,0.45,4.46,4.26,-14.23
0.19,0.85,0.45,4.50,5.56,-15.80
0.19,0.86,0.46,5.88,3.68,-11.79
0.17,0.85,0.45,8.69,1.91,-10.76
0.13,0.85,0.43,9.50,-2.41,-6.76
0.10,0.83,0.46,7.24,-4.05,-3.24
0.07,0.81,0.42,2.52,-3.57,-6.27
0.10,0.80,0.43,-3.53,-3.85,-7.24
0.10,0.80,0.41,-8.49,-0.49,-10.79
0.11,0.81,0.41,-11.36,-1.36,-15.22
0.12,0.82,0.40,-11.27,-2.12,-20.09
0.13,0.82,0.41,-9.13,-3.21,-26.08
0.13,0.83,0.45,-6.34,-5.94,-31.45
0.12,0.81,0.45,-5.11,-8.79,-34.05
0.11,0.81,0.47,-6.69,-8.32,-36.29
0.11,0.82,0.50,-11.01,-7.83,-38.38
0.12,0.83,0.49,-15.89,-4.95,-42.12
0.14,0.84,0.49,-18.43,-2.95,-44.32
0.15,0.83,0.47,-18.46,-2.32,-43.83
0.15,0.84,0.47,-17.33,-3.62,-42.12
0.13,0.84,0.47,-16.14,-4.08,-41.36
0.09,0.83,0.50,-17.33,-5.57,-41.53
0.08,0.84,0.54,-21.68,-6.41,-41.85
0.03,0.85,0.61,-29.07,-8.84,-47.74
-0.06,0.83,0.62,-40.12,-13.42,-61.91
-0.02,0.82,0.54,-52.34,-13.54,-71.40
0.07,0.82,0.45,-61.50,-21.86,-67.28
0.16,0.86,0.47,-53.30,-12.85,-57.98
0.25,0.85,0.42,-44.40,-5.54,-42.32
0.23,0.84,0.42,-38.37,-0.90,-25.88
0.14,0.82,0.47,-28.85,4.09,-19.05
0.07,0.81,0.50,-23.50,4.53,-15.86
0.02,0.79,0.47,-21.44,2.70,-14.27
0.05,0.80,0.48,-17.89,1.94,-10.00
0.05,0.79,0.52,-13.33,-0.78,-4.89
0.04,0.79,0.54,-11.33,-4.84,0.69
0.05,0.80,0.55,-13.28,-7.31,3.36
0.03,0.80,0.53,-16.69,-6.56,1.50
0.01,0.79,0.51,-18.49,-4.00,-2.72
0.02,0.77,0.52,-17.11,-1.83,-5.74
0.05,0.78,0.53,-13.65,-1.76,-4.06
0.05,0.76,0.51,-10.11,-0.61,-2.00
0.04,0.78,0.54,-9.80,1.02,0.76
0.05,0.79,0.55,-10.32,3.85,1.97
0.04,0.77,0.57,-10.47,3.65,3.66
0.03,0.77,0.57,-11.91,2.47,2.72
0.02,0.76,0.57,-12.96,0.81,1.45
0.01,0.77,0.56,-13.86,0.52,0.76
0.04,0.77,0.57,-14.21,1.51,1.74
0.05,0.78,0.60,-13.10,0.06,4.12
0.04,0.77,0.59,-11.50,0.89,3.15
0.03,0.76,0.57,-10.96,-1.83,4.12
0.04,0.76,0.58,-10.53,-0.46,3.45
0.04,0.75,0.55,-9.88,-0.18,3.56
0.05,0.76,0.55,-9.66,-2.26,4.78
0.05,0.77,0.57,-9.13,-0.43,6.55
0.03,0.76,0.55,-8.40,-0.32,7.10
0.03,0.77,0.56,-7.69,-0.08,7.44
0.02,0.76,0.56,-6.58,-1.04,7.86
0.01,0.75,0.53,-6.05,-2.78,8.37
0.03,0.76,0.57,-10.40,-2.92,8.61
0.06,0.77,0.60,-12.26,-0.20,9.79
0.05,0.76,0.57,-5.89,-1.57,12.17
0.04,0.75,0.60,1.19,-6.73,14.52
0.03,0.76,0.60,2.37,-8.75,13.47
0.05,0.76,0.59,-2.60,-8.93,12.63
0.08,0.75,0.59,-4.44,-6.03,12.78
0.08,0.78,0.57,-0.52,-7.48,15.98
0.09,0.77,0.60,6.63,-10.14,20.44
0.10,0.75,0.58,11.48,-11.54,21.66
0.09,0.72,0.58,9.63,-10.92,19.01
0.10,0.75,0.59,5.27,-7.11,16.18
0.11,0.75,0.59,3.51,-3.45,16.53
0.12,0.74,0.59,7.13,-2.44,17.94
0.10,0.75,0.57,10.69,-2.85,18.41
0.11,0.75,0.60,12.38,-0.82,17.63
0.10,0.72,0.57,11.79,1.73,15.37
0.10,0.74,0.57,9.01,3.71,12.46
0.11,0.75,0.58,6.41,5.31,13.69
0.12,0.75,0.59,7.37,6.72,15.19
0.11,0.73,0.58,10.46,5.83,14.44
0.10,0.72,0.58,10.89,3.71,12.11
0.10,0.72,0.58,9.27,5.65,9.91
0.09,0.73,0.57,7.88,7.24,8.58
0.08,0.74,0.57,6.63,8.70,8.26
0.09,0.75,0.54,7.10,7.30,9.24
0.09,0.79,0.54,8.26,9.04,9.71
0.09,0.80,0.55,7.68,6.29,11.42
0.08,0.81,0.54,7.59,6.95,12.82
0.07,0.82,0.51,7.10,6.21,15.37
0.08,0.83,0.50,7.77,4.92,18.89
0.08,0.84,0.47,9.10,3.88,22.06
0.09,0.83,0.48,10.23,1.08,24.00
0.11,0.80,0.51,11.74,-0.38,22.82
0.12,0.78,0.50,12.09,-0.23,20.24
0.12,0.77,0.49,9.50,1.65,18.38
0.12,0.77,0.50,6.95,5.31,16.87
0.12,0.76,0.51,5.79,7.28,17.74
0.13,0.77,0.53,6.76,7.27,20.70
0.13,0.78,0.51,7.48,8.81,22.84
0.11,0.79,0.50,6.11,8.76,24.14
0.09,0.79,0.50,4.92,7.83,23.80
0.12,0.79,0.51,6.34,6.15,23.04
0.14,0.79,0.52,8.72,4.21,24.09
0.12,0.79,0.55,9.40,0.73,24.40
0.10,0.79,0.56,9.11,-0.63,21.63
0.13,0.77,0.55,7.59,0.84,18.92
0.15,0.77,0.56,4.93,2.44,17.04
0.14,0.75,0.54,3.04,3.94,17.13
0.14,0.77,0.52,1.42,4.02,18.89
0.15,0.77,0.53,2.20,3.82,19.71
