acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.24,0.83,0.42,-1.68,-1.37,2.41
0.25,0.83,0.43,-1.27,-0.63,3.01
0.25,0.84,0.42,0.09,-1.91,4.55
0.26,0.84,0.42,0.84,-2.90,4.81
0.26,0.83,0.40,1.04,-1.79,4.50
0.27,0.82,0.41,0.82,-1.04,5.60
0.26,0.81,0.41,1.25,0.34,5.59
0.27,0.81,0.41,2.29,1.28,5.85
0.26,0.82,0.42,2.99,1.33,5.33
0.26,0.82,0.42,3.74,2.11,3.82
0.25,0.83,0.41,3.57,1.15,3.89
0.25,0.83,0.41,3.19,1.98,3.66
0.26,0.83,0.40,2.15,2.02,3.62
0.26,0.83,0.40,1.91,1.74,3.21
0.25,0.83,0.40,2.11,0.98,2.63
0.26,0.83,0.41,2.53,0.20,2.78
0.25,0.83,0.41,2.87,0.27,2.96
0.25,0.84,0.41,2.81,0.72,3.30
0.24,0.83,0.41,2.38,1.36,3.16
0.24,0.83,0.41,1.82,1.24,3.15
0.25,0.85,0.41,1.18,1.37,2.99
0.24,0.84,0.40,0.44,0.87,3.04
0.26,0.83,0.40,0.52,0.87,2.85
0.25,0.83,0.41,0.31,0.32,2.99
0.25,0.84,0.39,0.27,-0.58,4.11
0.25,0.83,0.41,-0.14,-1.45,3.98
0.25,0.83,0.41,-0.76,-1.66,3.86
0.25,0.83,0.41,-0.70,-1.91,3.30
0.25,0.83,0.41,-0.69,-2.26,2.90
0.27,0.83,0.42,-0.64,-2.60,3.62
0.26,0.83,0.40,-0.02,-1.63,4.69
0.26,0.82,0.40,0.34,-0.95,4.79
0.26,0.82,0.40,0.81,-0.60,4.82
0.27,0.83,0.40,0.27,-0.02,5.36
0.26,0.83,0.39,0.23,0.29,5.24
0.25,0.83,0.40,0.63,0.06,4.63
0.26,0.84,0.41,0.63,-1.59,6.78
0.25,0.85,0.41,-0.26,-2.61,7.74
0.25,0.84,0.42,-1.13,-3.97,8.27
0.25,0.84,0.41,-2.05,-4.52,8.95
0.26,0.83,0.41,-2.58,-5.21,8.81
0.25,0.82,0.40,-2.53,-4.84,7.44
0.26,0.82,0.40,-2.53,-4.78,7.40
0.25,0.83,0.40,-2.84,-4.82,7.34
0.26,0.84,0.41,-3.48,-4.37,8.34
0.28,0.83,0.40,-3.86,-3.40,8.26
0.28,0.82,0.40,-3.71,-4.87,9.36
0.29,0.83,0.40,-2.81,-4.92,8.66
0.28,0.82,0.40,-2.50,-4.64,7.18
0.29,0.81,0.41,-2.90,-4.21,6.98
0.27,0.82,0.41,-3.33,-2.58,6.34
0.28,0.82,0.40,-3.63,-1.82,5.39
0.28,0.83,0.40,-3.89,-1.30,4.78
0.28,0.82,0.39,-4.03,-2.05,5.08
0.29,0.82,0.40,-3.74,-2.03,5.88
0.28,0.82,0.39,-3.68,-2.72,5.79
0.29,0.82,0.40,-3.74,-2.34,5.73
0.29,0.81,0.40,-3.57,-1.40,4.21
0.30,0.82,0.40,-3.25,-1.28,4.69
0.30,0.81,0.41,-2.43,0.26,4.46
0.30,0.82,0.40,-2.12,-0.02,4.24
0.31,0.81,0.42,-1.44,-0.05,2.81
0.30,0.80,0.41,-0.44,0.50,0.31
0.30,0.81,0.40,0.14,0.85,0.23
0.29,0.81,0.40,0.40,1.44,-0.37
0.29,0.82,0.40,0.55,2.31,-0.46
0.29,0.83,0.40,0.31,2.53,-1.42
0.30,0.81,0.40,0.63,3.13,-3.10
0.30,0.81,0.40,1.04,3.07,-3.86
0.30,0.81,0.40,2.08,2.81,-6.95
0.29,0.80,0.40,3.39,4.06,-10.37
0.30,0.80,0.40,4.47,5.68,-13.83
0.30,0.79,0.40,5.85,8.41,-17.59
0.31,0.78,0.39,7.66,11.82,-22.85
0.28,0.78,0.38,9.36,13.88,-29.25
0.27,0.79,0.41,10.66,14.85,-35.59
0.29,0.78,0.43,12.75,20.92,-47.42
0.29,0.74,0.41,15.13,25.22,-53.68
0.29,0.73,0.40,19.76,32.67,-64.72
0.18,0.75,0.39,22.72,38.84,-81.44
0.09,0.79,0.44,24.05,36.63,-83.01
0.11,0.92,0.43,17.66,33.56,-81.11
0.14,1.00,0.42,8.38,31.54,-80.17
0.13,1.02,0.38,1.54,24.41,-78.81
0.14,0.95,0.33,3.01,15.95,-64.17
0.13,0.92,0.32,2.70,6.05,-48.60
0.12,0.90,0.35,1.18,4.17,-39.92
0.11,0.89,0.36,-0.02,3.31,-32.15
0.13,0.88,0.38,-0.82,5.92,-23.89
0.14,0.89,0.37,-4.72,9.63,-17.85
0.12,0.92,0.38,-8.52,10.38,-15.08
0.10,0.88,0.39,-7.47,8.96,-13.71
0.10,0.89,0.38,-5.15,6.17,-15.92
0.08,0.88,0.38,-3.98,2.67,-16.05
0.05,0.85,0.41,-3.36,0.40,-15.10
0.08,0.86,0.41,-4.47,1.74,-13.88
0.09,0.85,0.41,-5.18,2.41,-11.16
0.08,0.86,0.40,-4.95,3.28,-8.69
0.09,0.86,0.39,-4.79,4.84,-7.33
0.08,0.86,0.40,-4.78,3.33,-5.18
0.08,0.85,0.39,-2.29,2.47,-4.31
0.08,0.89,0.39,-1.48,1.77,-4.55
0.08,0.88,0.39,-2.55,0.14,-5.68
0.07,0.89,0.40,-2.38,-0.44,-6.50
0.08,0.87,0.38,-1.85,-1.07,-7.08
0.09,0.89,0.39,-3.86,-1.04,-6.24
0.06,0.87,0.40,-4.34,-1.15,-4.37
0.06,0.86,0.40,-3.60,-1.54,-2.34
0.06,0.85,0.40,-2.38,-2.61,-0.17
0.03,0.85,0.41,-1.05,-4.52,1.86
0.02,0.84,0.41,0.53,-7.27,5.69
0.00,0.83,0.40,3.01,-10.96,12.64
-0.03,0.82,0.39,5.31,-15.69,23.13
-0.03,0.77,0.38,6.63,-19.77,34.49
0.00,0.81,0.37,6.66,-20.73,47.05
0.05,0.85,0.36,0.43,-21.13,53.10
0.13,0.89,0.36,-5.44,-17.83,50.06
0.20,0.91,0.36,-10.93,-13.51,35.85
0.25,0.92,0.38,-9.60,-13.44,29.31
0.26,0.94,0.39,-5.95,-11.59,22.81
0.26,0.93,0.39,-3.18,-10.31,17.71
0.23,0.91,0.40,-3.85,-9.45,16.38
0.19,0.90,0.39,-5.56,-7.18,17.37
0.18,0.87,0.39,-7.45,-5.76,19.36
0.15,0.86,0.40,-7.88,-5.05,21.27
0.16,0.83,0.40,-6.79,-4.12,20.18
0.19,0.84,0.40,-5.36,-4.37,19.98
0.20,0.85,0.42,-4.52,-5.08,17.56
0.21,0.85,0.44,-1.92,-3.34,11.28
0.20,0.86,0.40,-0.26,-2.99,4.96
0.16,0.85,0.40,0.23,-2.05,-3.39
0.16,0.85,0.40,0.00,-1.07,-9.19
0.16,0.85,0.41,-0.81,0.03,-13.19
0.20,0.86,0.41,-1.88,3.04,-18.81
0.18,0.87,0.39,-1.74,4.21,-22.85
