acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.17,0.86,0.39,-2.84,-1.01,0.56
0.16,0.87,0.41,-2.53,0.20,0.23
0.15,0.86,0.40,-1.76,-0.49,0.03
0.14,0.86,0.40,-0.82,-1.48,0.58
0.14,0.86,0.40,-1.01,-2.23,0.56
0.14,0.86,0.41,-0.89,-2.06,0.24
0.15,0.86,0.40,-1.47,-1.59,-0.34
0.15,0.86,0.40,-1.80,-0.79,-1.95
0.15,0.86,0.39,-1.63,-0.96,-2.99
0.15,0.86,0.40,-1.48,-2.12,-3.91
0.15,0.85,0.39,-0.92,-3.04,-4.27
0.15,0.86,0.39,-0.53,-3.01,-4.08
0.15,0.85,0.40,-0.82,-2.50,-4.02
0.15,0.86,0.40,-0.95,-1.54,-4.35
0.16,0.86,0.39,-1.02,0.03,-4.40
0.16,0.86,0.41,-0.70,0.93,-4.72
0.15,0.85,0.39,0.24,1.21,-5.34
0.16,0.87,0.39,0.87,1.50,-5.56
0.16,0.86,0.39,1.30,1.97,-5.86
0.15,0.86,0.39,1.45,2.41,-6.09
0.14,0.87,0.38,1.65,2.53,-6.37
0.14,0.86,0.38,1.94,2.02,-6.58
0.13,0.86,0.38,1.95,1.22,-6.17
0.14,0.86,0.39,2.21,0.38,-5.94
0.14,0.86,0.39,2.18,0.17,-5.51
0.13,0.86,0.38,2.49,0.31,-5.45
0.12,0.86,0.38,2.81,0.53,-5.39
0.12,0.87,0.39,3.19,0.21,-5.08
0.13,0.88,0.38,3.18,-0.46,-4.34
0.12,0.87,0.39,2.79,-1.07,-3.56
0.13,0.87,0.38,2.69,-1.42,-3.21
0.13,0.87,0.38,1.77,-1.24,-2.64
0.13,0.87,0.38,1.21,-0.46,-3.21
0.13,0.87,0.38,0.79,0.35,-3.89
0.12,0.88,0.39,0.20,0.58,-3.59
0.13,0.88,0.38,-0.21,0.79,-3.37
0.13,0.87,0.38,-0.20,0.70,-2.90
0.13,0.86,0.37,-0.02,0.89,-2.79
0.13,0.87,0.39,0.24,1.15,-3.37
0.14,0.87,0.38,0.58,1.36,-3.56
0.13,0.87,0.38,0.79,0.99,-3.53
0.12,0.87,0.39,1.21,0.64,-3.77
0.11,0.87,0.39,1.91,-0.47,-4.17
0.12,0.87,0.37,1.51,-0.98,-4.15
0.11,0.87,0.37,1.53,-0.53,-4.05
0.11,0.87,0.38,1.02,-0.56,-3.51
0.12,0.88,0.38,0.23,-0.24,-2.76
0.13,0.87,0.38,-0.11,0.27,-2.05
0.13,0.87,0.38,-0.09,0.81,-2.17
0.13,0.87,0.37,0.15,0.95,-1.24
0.14,0.88,0.38,0.46,2.29,-1.33
0.13,0.88,0.38,0.82,2.21,-2.32
0.12,0.87,0.37,1.56,1.85,-5.11
0.12,0.89,0.38,0.96,1.83,-7.71
0.11,0.88,0.38,0.05,1.42,-7.80
0.12,0.89,0.38,-1.86,3.01,-9.05
0.13,0.90,0.37,-3.37,4.23,-10.15
0.11,0.87,0.36,-3.66,3.95,-8.05
0.08,0.84,0.36,-2.02,0.92,-2.58
0.06,0.84,0.36,-0.18,-1.05,0.75
0.06,0.85,0.38,-0.14,-1.97,3.10
0.08,0.87,0.37,-1.15,-0.66,4.93
0.10,0.88,0.36,-3.79,1.34,7.02
0.12,0.88,0.37,-5.44,3.08,6.79
0.12,0.89,0.38,-5.16,2.44,6.84
0.13,0.88,0.37,-3.53,0.92,6.43
0.12,0.87,0.36,-1.82,-0.40,6.41
0.12,0.88,0.37,-1.33,-1.19,7.34
0.13,0.88,0.38,-1.79,-0.90,7.37
0.10,0.87,0.38,-2.35,0.17,7.53
0.11,0.87,0.37,-3.86,1.02,8.37
0.12,0.88,0.37,-5.69,2.67,8.69
0.12,0.86,0.38,-6.09,3.10,8.02
0.13,0.86,0.36,-4.87,3.15,6.09
0.13,0.87,0.39,-6.82,-2.55,6.60
0.13,0.86,0.37,-5.19,1.91,3.60
0.11,0.88,0.40,1.73,9.71,2.70
0.13,0.88,0.41,0.27,0.84,4.79
0.11,0.85,0.38,0.72,-0.23,5.04
0.12,0.86,0.37,0.85,-1.22,4.76
0.12,0.86,0.38,-1.24,-1.79,3.16
0.11,0.86,0.39,-2.70,1.91,2.17
0.12,0.88,0.39,-2.11,5.02,1.73
0.13,0.88,0.38,-2.32,3.79,2.08
0.14,0.86,0.37,-2.27,0.82,3.22
0.13,0.86,0.37,-0.35,1.04,3.07
0.13,0.87,0.40,-0.76,-1.92,3.07
0.12,0.88,0.39,-1.28,-1.22,2.85
0.13,0.89,0.39,-1.30,1.57,3.73
0.12,0.87,0.39,-2.52,0.29,4.63
0.12,0.87,0.37,-2.31,-0.24,5.98
0.11,0.89,0.37,-3.10,-0.92,8.92
0.10,0.92,0.37,-7.15,-3.44,13.50
0.12,0.90,0.38,-9.92,-1.76,16.55
0.13,0.89,0.38,-11.68,0.02,18.23
0.13,0.88,0.37,-13.59,-0.46,18.99
0.13,0.86,0.38,-13.27,-1.54,20.32
0.13,0.85,0.40,-12.03,-3.89,21.21
0.15,0.86,0.39,-11.59,-4.24,22.31
0.16,0.84,0.40,-10.67,-1.18,19.24
0.16,0.85,0.38,-10.14,0.14,15.98
0.15,0.85,0.37,-9.85,-0.84,15.18
0.16,0.86,0.38,-8.63,-2.21,15.69
0.14,0.87,0.41,-8.21,-5.95,16.81
0.11,0.88,0.42,-10.76,-9.08,18.32
0.08,0.82,0.44,-14.32,-8.60,16.95
0.14,0.80,0.45,-23.30,-9.16,17.25
0.20,0.85,0.44,-34.20,1.31,13.82
0.21,0.84,0.43,-45.18,6.23,-21.37
0.08,0.82,0.47,-48.44,1.91,-48.20
0.18,0.85,0.49,-46.60,-6.85,-74.70
0.17,0.88,0.43,-43.73,-16.24,-73.97
0.19,0.89,0.42,-35.18,-14.49,-65.79
0.15,0.90,0.40,-35.92,-19.42,-44.66
0.18,0.84,0.39,-32.99,-3.95,-33.56
0.18,0.83,0.41,-35.34,2.38,-21.73
0.08,0.82,0.43,-31.39,11.01,-11.88
0.14,0.84,0.45,-27.37,11.69,-5.02
0.11,0.80,0.47,-22.38,4.15,0.21
0.10,0.80,0.50,-14.14,0.17,2.29
0.08,0.81,0.47,-12.87,-2.31,0.99
0.11,0.84,0.50,-15.16,1.60,-1.48
0.09,0.78,0.48,-14.09,3.36,-3.95
0.08,0.79,0.50,-11.50,3.21,-3.01
0.13,0.79,0.50,-7.59,1.91,-3.07
0.14,0.81,0.49,-4.76,0.24,-3.11
0.14,0.81,0.49,-0.72,-0.82,-2.02
0.14,0.81,0.48,2.02,0.78,0.47
0.14,0.83,0.47,2.05,2.23,2.27
0.13,0.82,0.48,1.69,2.85,3.19
0.11,0.85,0.48,-0.50,2.63,4.27
0.11,0.82,0.46,-0.41,1.10,4.50
0.11,0.81,0.49,0.37,-0.41,5.30
0.10,0.81,0.49,0.08,-0.76,4.03
0.10,0.80,0.50,0.84,-2.31,3.54
0.09,0.82,0.49,-1.04,-1.11,2.98
0.10,0.80,0.49,-1.24,0.37,1.50
0.09,0.82,0.48,-1.45,-1.27,1.13
0.09,0.80,0.46,1.77,-1.34,1.11
0.10,0.81,0.46,4.34,-5.25,2.64
0.11,0.82,0.47,6.93,-5.44,3.39
0.12,0.81,0.46,7.82,-6.18,4.87
0.13,0.83,0.46,7.21,-5.82,6.03
0.14,0.83,0.46,5.89,-3.95,7.22
0.15,0.82,0.48,5.30,-1.94,10.56
0.17,0.79,0.47,6.95,0.61,14.12
0.18,0.75,0.48,11.11,3.22,17.16
0.17,0.70,0.47,18.29,6.95,16.15
0.16,0.65,0.46,29.65,12.00,11.34
0.16,0.64,0.45,42.08,16.29,-1.82
0.15,0.71,0.48,52.15,17.80,-1.04
0.17,0.81,0.47,53.77,17.92,-16.17
0.09,0.92,0.47,50.76,10.32,-15.15
0.06,0.98,0.47,45.28,4.14,-12.05
0.07,1.00,0.48,37.15,-0.24,-11.31
0.06,0.99,0.46,28.35,-5.48,-0.89
0.08,0.93,0.42,22.53,0.98,-5.65
0.10,0.87,0.39,18.95,-3.05,-1.05
0.11,0.85,0.37,17.07,-0.64,-2.63
0.14,0.85,0.36,15.94,3.22,-9.53
0.14,0.86,0.36,15.73,3.94,-11.28
0.11,0.87,0.37,15.94,2.93,-8.87
0.09,0.88,0.39,15.15,3.28,-7.16
0.08,0.90,0.38,12.44,3.19,-6.46
0.06,0.89,0.39,9.56,2.53,-3.76
0.08,0.87,0.38,7.04,3.50,-4.64
0.07,0.87,0.38,5.60,2.69,-5.27
0.09,0.86,0.37,5.25,2.41,-6.09
0.09,0.88,0.37,4.87,0.49,-3.42
0.09,0.88,0.37,4.60,0.52,-2.09
0.11,0.88,0.38,3.56,1.57,-2.98
0.09,0.88,0.38,2.78,2.15,-4.08
0.08,0.89,0.37,1.91,1.74,-4.60
0.09,0.88,0.38,1.74,1.02,-3.95
0.08,0.88,0.37,1.02,-0.03,-3.51
0.07,0.87,0.37,1.42,-1.73,-3.10
0.07,0.88,0.38,2.72,-2.27,-1.28
0.06,0.87,0.39,1.66,-4.66,0.05
0.04,0.86,0.37,1.36,-4.76,1.77
0.04,0.85,0.37,1.33,-5.92,4.63
0.06,0.87,0.35,0.72,-6.67,5.16
0.11,0.90,0.37,-1.51,-3.80,2.98
0.12,0.90,0.36,-3.27,-0.38,1.71
0.12,0.90,0.35,-4.15,-0.38,1.10
0.11,0.88,0.35,-1.62,-2.64,0.93
0.10,0.87,0.37,0.76,-4.69,1.97
0.09,0.87,0.37,1.65,-6.06,2.87
0.10,0.87,0.38,0.78,-4.20,3.48
0.10,0.88,0.37,-0.79,-1.62,3.25
0.11,0.89,0.38,-1.97,1.01,1.65
0.11,0.88,0.37,-1.74,0.56,0.46
0.12,0.90,0.38,-1.80,-0.89,-0.63
0.11,0.90,0.40,-1.10,-2.58,-0.90
0.11,0.87,0.39,0.40,-3.59,-1.79
0.09,0.85,0.37,1.69,-4.02,-1.53
0.09,0.86,0.38,2.12,-3.66,0.79
0.07,0.89,0.36,0.73,-1.94,3.44
0.07,0.94,0.38,-3.63,-4.03,10.37
0.06,0.96,0.39,-6.81,-5.45,16.78
0.03,0.85,0.39,-10.46,-9.94,16.46
