acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z,temp
0.19,0.94,0.24,-1.94,-1.07,1.88,31.68
0.19,0.94,0.24,-2.03,-1.24,1.1,31.82
0.2,0.94,0.24,-1.33,-0.76,0.85,31.78
0.2,0.93,0.24,-0.47,-0.52,1.01,31.73
0.2,0.92,0.24,-0.38,-0.72,1.31,31.73
0.2,0.93,0.24,-0.44,-1.16,1.91,31.78
0.2,0.92,0.23,-0.63,-1.76,1.53,31.64
0.2,0.93,0.24,-0.84,-1.95,1.08,31.78
0.2,0.92,0.24,-0.4,-2.21,1.27,31.68
0.2,0.93,0.25,0.14,-2.24,1.54,31.73
0.2,0.92,0.25,0.21,-2.38,1.69,31.68
0.2,0.92,0.25,0.0,-2.64,1.97,31.73
0.2,0.94,0.24,-0.32,-2.66,1.59,31.68
0.21,0.95,0.24,-1.07,-2.79,1.4,31.68
0.2,0.94,0.24,-1.34,-2.64,1.66,31.73
0.2,0.94,0.24,-1.13,-2.49,1.71,31.64
0.19,0.92,0.25,3.62,-2.85,2.41,31.68
0.19,0.93,0.27,3.56,-4.14,1.08,31.78
0.15,0.94,0.28,1.68,-7.34,-0.06,31.73
0.15,0.93,0.25,3.6,-9.08,2.47,31.87
0.18,0.91,0.22,9.53,-10.82,6.75,31.82
0.21,0.92,0.23,11.56,-9.91,9.22,31.73
0.21,0.91,0.22,11.28,-10.06,11.86,31.78
0.21,0.94,0.2,7.83,-11.36,12.93,31.73
0.24,0.94,0.19,3.8,-11.24,11.4,31.78
0.22,0.97,0.2,-2.2,-11.31,8.31,31.78
0.21,0.97,0.2,-6.66,-11.42,6.63,31.73
0.22,0.94,0.22,-6.56,-10.53,7.07,31.68
0.22,0.93,0.22,-3.74,-9.5,8.69,31.68
0.23,0.93,0.23,0.44,-7.5,9.47,31.82
0.24,0.93,0.22,2.76,-5.54,8.56,31.78
0.23,0.93,0.23,3.11,-4.41,8.12,31.73
0.23,0.93,0.22,3.24,-4.41,8.08,31.87
0.22,0.93,0.23,2.23,-4.75,8.41,31.78
0.2,0.93,0.23,2.05,-6.17,9.48,31.73
0.2,0.94,0.22,0.82,-7.82,10.08,31.78
0.21,0.95,0.22,0.14,-9.1,12.23,31.78
0.23,0.9,0.21,3.68,-10.32,16.5,31.82
0.22,0.97,0.2,2.63,-11.33,17.95,31.78
0.25,0.92,0.19,3.94,-10.66,18.43,31.73
0.26,0.94,0.19,5.77,-8.93,19.56,31.73
0.27,0.92,0.17,7.95,-7.24,21.18,31.78
0.3,0.89,0.09,10.63,-5.95,24.08,31.82
0.36,0.85,0.21,14.96,-2.38,26.63,31.73
0.37,0.8,0.25,16.78,4.64,31.47,31.78
0.36,0.82,0.25,15.63,7.51,33.79,31.73
0.34,0.84,0.25,15.27,8.89,33.34,31.78
0.31,0.85,0.25,17.53,8.96,31.34,31.87
0.3,0.87,0.21,18.11,10.23,28.89,31.73
0.33,0.87,0.21,18.98,12.5,27.34,31.68
0.32,0.89,0.22,17.62,14.26,24.76,31.78
0.31,0.89,0.21,16.93,13.97,21.89,31.78
0.29,0.93,0.18,15.79,12.2,18.81,31.78
0.3,0.93,0.17,14.99,12.21,14.4,31.82
0.29,0.93,0.17,16.95,14.99,8.41,31.82
0.3,0.93,0.18,19.48,18.2,-1.13,31.78
0.32,1.02,0.2,12.5,21.76,-15.45,31.82
0.3,1.06,0.21,-2.55,25.6,-29.74,31.78
0.35,1.1,0.2,-22.38,36.35,-62.87,31.68
0.29,1.04,0.14,-29.73,38.24,-67.62,31.82
0.26,1.09,0.17,-48.85,39.59,-86.26,31.73
0.14,1.07,0.17,-68.82,35.62,-95.53,31.87
0.04,1.0,0.08,-65.66,24.44,-76.82,31.73
-0.01,1.02,0.17,-58.66,13.36,-47.45,31.87
0.07,1.01,0.18,-60.05,9.59,-32.38,31.78
0.18,0.99,0.25,-64.9,2.47,-39.85,31.82
0.23,0.9,0.38,-54.87,13.45,-38.0,31.78
0.19,0.93,0.37,-41.86,23.01,-29.42,31.78
0.14,0.9,0.29,-3.04,24.75,-17.08,31.82
0.14,0.93,0.35,18.02,36.03,-16.35,31.87
0.16,0.89,0.3,20.92,33.88,-17.69,31.78
0.15,0.92,0.24,15.39,27.39,-22.02,31.82
0.16,0.92,0.25,8.05,21.3,-22.66,31.78
0.15,0.93,0.26,-0.99,14.05,-22.14,31.78
0.14,0.92,0.26,-10.56,5.83,-20.43,31.92
0.16,0.92,0.23,-16.24,2.61,-19.18,31.87
0.14,0.94,0.27,-18.23,-0.84,-19.27,31.82
0.14,0.92,0.26,-15.27,-2.0,-18.47,31.82
0.14,0.96,0.28,-14.67,-2.78,-20.49,31.87
0.15,0.93,0.27,-17.01,-3.28,-21.16,31.73
0.14,0.93,0.25,-21.79,-5.59,-24.06,31.73
0.12,0.96,0.27,-30.26,-9.28,-26.49,31.78
0.12,0.96,0.27,-40.37,-12.41,-30.47,31.82
0.12,0.95,0.27,-51.45,-17.74,-34.89,31.82
0.12,0.91,0.27,-59.4,-21.71,-38.02,31.78
0.13,0.92,0.29,-62.5,-22.6,-41.04,31.92
0.15,0.89,0.27,-56.69,-16.12,-36.53,31.82
0.16,0.89,0.27,-46.9,-8.92,-32.21,31.78
0.16,0.9,0.3,-37.73,0.56,-25.57,31.73
0.16,0.88,0.28,-28.76,8.69,-16.09,31.87
0.12,0.89,0.27,-21.51,13.34,-4.12,31.68
0.12,0.91,0.26,-17.39,16.84,1.31,31.82
0.11,0.91,0.29,-15.65,17.89,1.76,31.78
0.08,0.91,0.34,-19.69,15.6,-2.5,31.78
0.06,0.89,0.39,-25.79,10.44,-8.95,31.73
0.03,0.84,0.41,-28.4,4.17,-14.35,31.87
0.03,0.82,0.41,-25.74,-0.35,-17.76,31.87
0.03,0.8,0.39,-18.99,-4.49,-16.79,31.82
0.04,0.79,0.41,-10.79,-9.24,-10.66,31.78
0.05,0.79,0.42,-3.42,-12.0,-2.76,31.73
0.07,0.8,0.41,5.51,-14.44,6.06,31.78
0.09,0.8,0.39,14.44,-14.78,14.46,31.78
0.09,0.81,0.39,22.31,-15.95,23.25,31.82
0.09,0.79,0.35,31.68,-17.31,33.04,31.82
0.08,0.77,0.34,44.4,-21.1,44.85,31.87
0.06,0.78,0.34,56.43,-25.24,57.44,31.73
0.05,0.89,0.29,61.71,-27.77,62.66,31.78
0.08,0.98,0.32,55.05,-29.4,56.53,31.78
0.09,0.99,0.31,44.41,-30.67,51.85,31.82
0.06,0.97,0.26,38.55,-39.15,55.31,31.73
0.04,0.98,0.27,37.39,-48.23,62.37,31.78
0.06,1.01,0.3,35.83,-54.7,67.16,31.73
0.15,1.06,0.32,26.75,-49.98,65.34,31.78
0.26,1.03,0.28,16.06,-43.74,60.7,31.78
0.31,1.01,0.33,8.11,-35.19,50.46,31.73
0.35,0.92,0.4,11.73,-23.15,45.24,31.78
0.33,0.83,0.36,29.53,-18.08,50.96,31.78
0.31,0.81,0.3,49.4,-13.86,54.92,31.73
0.33,0.81,0.26,59.68,-9.73,53.24,31.78
0.32,0.83,0.26,58.09,-6.32,54.69,31.87
0.34,0.85,0.24,44.75,-5.42,53.86,31.82
0.31,0.9,0.19,26.5,-8.69,50.46,31.87
0.3,0.93,0.18,14.18,-12.08,47.3,31.73
0.32,0.91,0.22,11.42,-10.95,44.64,31.73
0.33,0.88,0.25,18.34,-8.38,44.67,31.78
0.35,0.85,0.27,28.31,-5.91,45.16,31.73
0.35,0.82,0.28,37.79,-6.61,45.85,31.82
0.35,0.82,0.29,43.02,-6.99,46.21,31.78
0.35,0.86,0.25,39.59,-9.74,42.73,31.73
0.32,0.93,0.19,29.22,-13.68,34.87,31.78
0.28,0.97,0.16,18.34,-15.8,27.65,31.87
0.3,0.99,0.15,13.6,-11.82,20.72,31.82
0.33,0.97,0.15,11.92,-7.19,12.89,31.87
0.34,1.0,0.14,7.92,-2.99,4.15,31.87
0.37,1.01,0.16,8.53,3.73,-2.96,31.82
0.4,0.95,0.18,14.93,9.94,-10.14,31.87
0.42,0.94,0.17,12.27,16.47,-23.42,31.92
0.36,1.02,0.15,-1.11,22.78,-42.53,31.97
0.36,0.99,0.08,-8.55,30.87,-51.6,31.87
0.29,1.03,0.07,-15.02,32.05,-59.85,31.92
0.23,1.05,0.13,-24.98,31.36,-61.98,31.92
0.24,1.04,0.15,-34.47,26.79,-58.85,31.97
0.22,1.07,0.18,-47.24,20.99,-59.1,31.92
0.22,1.06,0.21,-64.26,12.0,-62.6,31.97
0.27,0.96,0.19,-71.57,8.44,-60.84,31.97
0.29,0.9,0.19,-68.23,5.51,-55.57,32.01
0.26,0.93,0.24,-68.53,7.25,-54.82,31.97
