acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.22,0.80,0.47,-1.56,-0.20,2.06
0.21,0.80,0.47,-1.85,0.78,2.00
0.21,0.80,0.46,-1.71,2.02,1.42
0.20,0.80,0.47,-0.78,2.27,0.70
0.21,0.80,0.47,0.12,1.01,0.31
0.20,0.79,0.46,1.45,1.13,-0.23
0.20,0.79,0.47,1.83,0.29,-0.03
0.20,0.80,0.47,1.19,1.04,-0.55
0.20,0.80,0.47,0.60,1.91,-0.93
0.20,0.81,0.47,0.44,1.31,-0.84
0.20,0.81,0.47,0.55,0.72,-1.15
0.20,0.81,0.46,0.67,-0.37,-1.51
0.20,0.80,0.47,0.32,-1.02,-1.76
0.20,0.80,0.47,-0.32,-1.07,-1.80
0.20,0.82,0.47,-1.07,-0.47,-1.95
0.21,0.81,0.46,-1.48,0.46,-1.95
0.20,0.81,0.46,-1.42,0.29,-1.57
0.20,0.80,0.47,-0.70,0.37,-1.45
0.21,0.81,0.47,-0.53,0.27,-1.27
0.20,0.80,0.47,-0.09,0.14,-1.27
0.20,0.81,0.47,-0.55,0.52,-1.62
0.21,0.81,0.46,-0.70,0.78,-1.34
0.21,0.82,0.47,-1.18,0.69,-0.73
0.19,0.81,0.47,-1.21,0.40,-0.34
0.20,0.80,0.46,-1.27,-0.15,0.14
0.20,0.81,0.46,-1.88,-0.46,0.41
0.20,0.81,0.47,-2.17,-0.55,0.75
0.20,0.81,0.47,-2.43,-0.47,0.78
0.19,0.81,0.46,-2.03,-0.70,1.07
0.20,0.81,0.46,-1.66,-1.15,0.96
0.20,0.81,0.47,-1.30,-1.15,1.40
0.21,0.81,0.46,-1.25,-0.96,1.66
0.19,0.81,0.47,-1.25,-0.47,1.42
0.21,0.80,0.47,-1.36,0.15,1.45
0.20,0.80,0.47,-1.40,0.03,1.01
0.21,0.80,0.48,-1.27,0.08,0.87
0.20,0.80,0.47,-1.30,0.06,0.56
0.20,0.80,0.47,-1.42,-0.20,0.31
0.21,0.81,0.47,-1.22,-0.34,0.05
0.21,0.80,0.47,-1.02,-0.46,0.06
0.20,0.80,0.46,-0.84,-0.03,-0.47
0.20,0.81,0.47,-0.85,0.09,-0.79
0.21,0.81,0.47,-0.75,0.31,-0.55
0.20,0.81,0.47,-0.49,-0.05,-0.89
0.21,0.80,0.47,-0.20,-0.31,-0.67
0.20,0.80,0.47,-0.17,-0.32,-0.67
0.21,0.81,0.46,-0.69,0.34,-0.63
0.21,0.81,0.47,-0.81,0.81,-0.43
0.20,0.82,0.46,-1.44,0.81,-0.47
0.19,0.81,0.46,-1.21,0.69,-0.46
0.20,0.81,0.47,-1.34,0.40,-0.05
0.20,0.81,0.47,-1.37,0.08,-0.09
0.20,0.81,0.46,-1.53,0.00,0.15
0.20,0.81,0.47,-1.62,-0.40,0.09
0.20,0.81,0.46,-1.82,-0.78,0.37
0.20,0.81,0.47,-1.85,-0.98,0.05
0.20,0.80,0.47,-1.62,-0.99,0.31
0.20,0.82,0.46,-1.95,-1.11,0.67
0.20,0.82,0.47,-2.11,-0.55,0.63
0.20,0.81,0.46,-2.27,-0.56,0.67
0.20,0.80,0.46,-1.82,-0.40,0.76
0.20,0.80,0.46,-1.36,-0.47,1.13
0.20,0.81,0.46,-1.65,-0.03,2.26
0.20,0.81,0.47,-1.68,0.43,2.47
0.20,0.81,0.47,-1.92,0.35,2.20
0.20,0.81,0.47,-1.57,-0.18,2.06
0.19,0.81,0.47,-1.54,-1.04,1.51
0.20,0.82,0.47,-1.50,-1.33,1.40
0.20,0.81,0.47,-2.12,-1.33,1.18
0.19,0.80,0.47,-2.49,-0.92,1.13
0.20,0.81,0.47,-2.98,-0.70,1.22
0.20,0.81,0.46,-2.47,-0.58,1.15
0.20,0.81,0.47,-2.44,-0.84,0.81
0.20,0.81,0.47,-2.21,-0.87,0.60
0.20,0.81,0.48,-2.00,-1.04,0.27
0.20,0.81,0.47,-1.66,-1.54,0.11
0.20,0.80,0.48,-1.68,-1.51,-0.17
0.21,0.81,0.46,-1.47,-1.30,-0.37
