acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z,temp
0.08,0.87,0.44,-0.14,-1.02,0.64,32.34
0.08,0.87,0.44,0.05,-0.9,0.38,32.29
0.08,0.87,0.44,0.11,-0.87,0.41,32.25
0.08,0.88,0.44,0.11,-1.02,0.29,32.2
0.08,0.87,0.44,0.05,-0.99,0.44,32.25
0.08,0.87,0.44,0.09,-0.73,0.47,32.25
0.08,0.87,0.44,-0.23,-0.53,0.26,32.2
0.08,0.87,0.45,-0.14,-0.44,0.46,32.25
0.07,0.87,0.44,-0.4,-0.47,0.26,32.29
0.07,0.88,0.44,-0.61,-0.7,0.58,32.2
0.08,0.87,0.44,-0.98,-0.6,0.08,32.25
0.08,0.87,0.44,-0.92,-0.38,0.47,32.2
0.08,0.87,0.45,-0.87,-0.4,0.53,32.25
0.08,0.88,0.45,-0.81,-0.34,0.4,32.34
0.08,0.88,0.44,-0.56,-0.23,0.61,32.2
0.08,0.87,0.43,-0.55,-0.4,0.67,32.25
0.09,0.87,0.44,0.89,-1.66,1.79,32.34
0.08,0.88,0.44,1.05,-1.48,1.8,32.29
0.08,0.88,0.44,0.03,-1.31,1.01,32.25
0.09,0.89,0.44,-0.63,0.03,-0.61,32.2
0.09,0.88,0.44,-0.73,1.77,-1.19,32.29
0.08,0.88,0.44,0.05,3.07,-0.63,32.15
0.08,0.86,0.44,1.07,3.22,0.6,32.29
0.07,0.86,0.44,0.41,1.71,1.16,32.29
0.08,0.86,0.43,0.47,0.23,1.92,32.25
0.08,0.86,0.43,1.02,-0.43,3.48,32.2
0.08,0.86,0.44,2.03,0.05,4.29,32.25
0.08,0.86,0.43,4.06,0.29,5.88,32.25
0.08,0.86,0.45,4.6,-0.24,7.25,32.29
0.08,0.87,0.45,4.89,-1.48,8.24,32.25
0.08,0.87,0.42,6.11,-2.61,9.33,32.29
0.08,0.87,0.42,7.05,-2.69,9.92,32.15
0.08,0.88,0.43,5.86,-3.3,8.64,32.25
0.1,0.88,0.43,4.31,-3.62,6.5,32.2
0.09,0.89,0.42,4.63,-3.62,5.25,32.25
0.08,0.9,0.42,3.85,-3.34,4.47,32.25
0.09,0.89,0.42,2.66,-3.25,4.17,32.29
0.09,0.9,0.43,0.75,-4.14,4.37,32.25
