acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z,temp
0.19,0.87,0.42,-0.15,-1.11,1.39,33.47
0.2,0.87,0.42,0.02,-1.27,1.05,33.42
0.19,0.87,0.41,-0.26,-1.04,0.87,33.38
0.2,0.86,0.42,-0.44,-0.76,0.5,33.42
0.19,0.86,0.42,-1.07,-0.31,0.55,33.52
0.2,0.87,0.42,-1.18,0.14,0.67,33.47
0.19,0.87,0.42,-1.73,0.43,0.43,33.47
0.19,0.88,0.43,-1.98,0.29,0.0,33.42
0.2,0.88,0.42,-2.11,0.38,-0.29,33.38
0.19,0.87,0.42,-2.09,0.21,-0.27,33.38
0.19,0.87,0.42,-1.92,-0.14,-0.34,33.42
0.19,0.87,0.41,-1.08,-0.43,0.05,33.47
0.2,0.87,0.42,-0.84,-0.89,-0.09,33.47
0.2,0.86,0.42,-1.18,-1.08,-0.34,33.42
0.2,0.86,0.43,-1.16,-0.9,-0.55,33.42
0.21,0.86,0.42,0.03,-0.85,0.17,33.47
0.19,0.87,0.42,-1.01,-0.49,-0.18,33.52
0.19,0.86,0.41,-0.58,-1.02,0.0,33.47
0.19,0.86,0.42,-0.46,-1.57,-0.21,33.33
0.19,0.87,0.42,0.21,-1.69,0.03,33.42
0.19,0.86,0.42,0.82,-1.68,0.67,33.38
0.19,0.86,0.42,1.08,-1.95,0.78,33.47
0.19,0.87,0.41,1.4,-2.14,0.7,33.42
0.19,0.87,0.41,1.44,-2.31,0.41,33.38
0.19,0.87,0.42,2.02,-2.32,0.41,33.47
0.19,0.87,0.42,1.88,-2.46,0.47,33.42
0.19,0.86,0.41,2.27,-2.37,1.05,33.42
0.19,0.87,0.42,2.32,-2.26,1.31,33.38
0.19,0.87,0.4,2.56,-1.95,1.59,33.52
0.19,0.87,0.41,2.61,-1.66,2.29,33.38
0.19,0.87,0.41,2.87,-1.37,3.18,33.47
0.19,0.86,0.41,3.56,-0.34,4.29,33.47
0.2,0.86,0.4,4.09,0.03,4.95,33.42
0.2,0.87,0.41,3.71,0.32,5.02,33.38
0.2,0.87,0.4,4.02,0.64,5.08,33.38
0.2,0.86,0.41,4.37,0.78,5.95,33.42
0.2,0.88,0.4,4.05,1.05,5.02,33.33
0.2,0.88,0.41,3.54,1.37,4.52,33.47
0.2,0.88,0.41,3.68,1.47,4.34,33.42
0.2,0.87,0.41,3.15,1.1,3.62,33.52
0.2,0.88,0.4,2.64,0.95,3.07,33.38
