acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z,temp
0.17,0.88,0.38,2.2,-2.11,-0.41,32.06
0.18,0.88,0.39,2.43,-2.11,-0.2,32.06
0.18,0.88,0.38,2.34,-2.06,0.12,31.97
0.18,0.88,0.38,1.97,-2.18,-0.08,32.11
0.18,0.88,0.39,1.3,-1.65,-0.35,32.15
0.18,0.89,0.39,0.89,-1.44,-0.26,32.11
0.17,0.89,0.39,0.92,-1.24,-0.12,32.11
0.18,0.89,0.39,0.58,-1.34,-0.24,32.06
0.18,0.89,0.38,0.12,-1.13,-0.18,32.01
0.17,0.89,0.38,0.09,-1.22,0.05,32.11
0.18,0.88,0.38,0.06,-1.28,-0.15,32.06
0.18,0.88,0.39,-0.15,-1.37,-0.05,32.11
0.19,0.88,0.39,0.34,-1.34,0.12,32.11
0.18,0.88,0.38,0.53,-1.45,0.26,32.01
0.18,0.88,0.38,0.47,-1.53,0.38,32.11
0.18,0.88,0.39,0.64,-1.53,0.34,32.15
0.18,0.89,0.38,0.61,-1.33,0.34,32.06
0.18,0.89,0.37,0.47,-1.51,0.41,32.06
0.18,0.88,0.38,0.72,-1.39,0.37,32.11
0.18,0.89,0.38,0.78,-1.42,0.43,32.06
0.19,0.89,0.38,0.67,-1.13,0.61,32.11
0.18,0.89,0.38,0.31,-1.13,0.47,32.11
0.18,0.88,0.38,0.52,-1.16,0.27,31.97
0.18,0.9,0.38,0.43,-1.08,0.35,32.06
0.18,0.89,0.37,-0.06,-0.79,0.32,32.11
0.18,0.89,0.37,-0.08,-0.95,0.05,32.15
0.18,0.88,0.37,0.41,-1.11,0.05,32.01
0.18,0.89,0.37,0.14,-1.36,0.41,32.01
0.18,0.89,0.38,-0.06,-0.95,0.24,31.97
0.18,0.88,0.37,0.18,-1.1,0.2,32.06
0.19,0.88,0.37,0.26,-0.92,0.49,32.01
0.18,0.89,0.37,0.09,-0.87,0.75,32.06
0.19,0.89,0.35,0.35,-0.76,0.26,32.11
0.18,0.9,0.38,-0.69,-0.93,-0.72,32.11
0.17,0.89,0.37,-0.41,-1.37,0.21,32.06
0.18,0.88,0.38,0.27,-1.45,0.31,32.01
0.19,0.89,0.36,0.11,-0.47,0.11,32.11
0.19,0.9,0.36,-0.98,-1.04,-0.7,31.97
0.17,0.9,0.38,-1.77,-1.16,-0.85,32.01
0.18,0.9,0.38,-1.37,-0.76,-0.43,32.11
0.19,0.89,0.37,-1.08,-0.85,-0.41,32.06
0.18,0.89,0.37,-1.19,-1.36,-0.44,31.92
0.18,0.89,0.37,-1.45,-1.36,-0.64,32.01
0.18,0.89,0.37,-1.16,-0.69,-0.43,31.97
0.18,0.89,0.38,-1.11,-0.31,-0.53,32.11
0.18,0.9,0.36,-1.62,-0.55,-0.89,32.11
0.18,0.89,0.35,-2.14,-0.66,-0.6,32.15
0.18,0.9,0.37,-2.34,-0.29,-1.56,32.11
0.17,0.89,0.37,-1.89,-0.67,-0.29,32.06
0.17,0.89,0.37,-1.47,-1.51,-0.7,32.06
0.18,0.89,0.36,-1.04,-1.71,-1.5,32.11
0.18,0.9,0.37,-1.54,-2.98,-2.43,32.06
0.18,0.9,0.36,-2.11,-3.68,-1.79,31.97
0.17,0.89,0.38,-2.05,-2.98,-1.01,32.11
0.16,0.9,0.4,-2.55,-1.53,0.09,32.06
0.15,0.91,0.41,-4.58,-0.09,0.87,32.01
0.14,0.91,0.39,-5.3,-0.06,3.89,32.01
0.14,0.91,0.38,-5.54,-0.56,3.34,32.06
0.15,0.9,0.38,-4.02,-0.35,3.57,31.92
0.16,0.9,0.35,-5.16,-2.03,1.73,32.11
0.18,0.91,0.34,-5.27,-3.19,-0.43,31.97
0.19,0.91,0.3,0.21,-0.84,1.21,32.01
0.22,0.9,0.27,9.04,0.09,3.57,32.01
0.24,0.82,0.32,15.07,-5.36,7.33,32.11
0.25,0.72,0.41,21.1,-5.68,11.56,31.92
0.25,0.67,0.5,26.12,1.51,15.73,31.97
0.3,0.61,0.51,33.51,9.08,27.11,32.06
0.37,0.54,0.52,44.14,11.45,47.04,32.11
0.43,0.5,0.54,52.32,18.34,68.29,32.15
0.42,0.57,0.51,56.26,34.63,79.5,32.11
0.36,0.88,0.29,48.69,45.97,67.34,32.01
0.23,1.29,0.08,21.36,33.56,36.35,31.97
0.15,1.32,0.03,-3.16,11.01,4.24,32.11
0.06,1.28,0.18,-22.73,-2.87,-16.85,32.01
0.02,1.17,0.3,-33.91,-6.32,-28.2,32.15
-0.01,0.97,0.41,-18.9,7.3,-16.41,32.11
0.04,0.89,0.41,2.55,21.42,5.08,32.11
0.19,0.99,0.26,1.86,12.44,6.4,32.06
0.27,1.06,0.25,-18.11,-4.78,-11.57,32.11
0.23,0.98,0.34,-32.56,-3.59,-24.6,32.11
0.17,0.89,0.37,-32.43,9.5,-24.05,32.15
0.14,0.91,0.35,-30.12,12.26,-21.15,32.11
0.13,0.93,0.31,-28.44,4.85,-23.13,32.06
0.14,0.91,0.32,-22.81,-1.54,-24.84,32.15
0.18,0.91,0.36,-20.43,-3.42,-29.15,32.11
0.2,0.9,0.37,-20.78,-4.52,-35.21,32.15
0.21,0.9,0.38,-21.63,-7.05,-39.1,32.06
0.21,0.9,0.38,-22.81,-6.17,-40.87,32.11
0.22,0.91,0.4,-25.47,-4.02,-40.47,32.06
0.23,0.89,0.42,-31.62,-4.34,-36.47,32.06
0.22,0.88,0.42,-35.25,-4.93,-28.4,32.11
0.2,0.89,0.42,-37.71,0.26,-22.46,32.15
0.18,0.87,0.41,-37.36,7.3,-17.13,32.11
0.18,0.86,0.39,-32.4,9.24,-6.6,32.2
0.17,0.88,0.4,-31.19,10.4,-0.53,32.06
0.16,0.9,0.4,-34.73,11.77,-0.05,32.11
0.15,0.91,0.41,-40.82,9.07,-6.31,32.15
0.12,0.88,0.41,-43.65,2.61,-13.01,32.06
0.11,0.84,0.4,-40.02,-0.82,-17.82,32.11
0.1,0.81,0.43,-34.12,-3.22,-20.58,32.15
0.12,0.79,0.43,-28.55,-5.19,-20.81,32.11
0.11,0.81,0.43,-23.33,-9.08,-19.37,32.01
0.12,0.83,0.44,-18.4,-13.37,-18.44,32.06
0.14,0.85,0.46,-15.92,-11.44,-18.66,32.11
0.15,0.86,0.47,-14.2,-8.21,-14.05,32.2
0.15,0.86,0.47,-12.49,-5.31,-8.11,32.06
0.14,0.86,0.48,-12.56,-2.09,-4.02,32.11
0.13,0.87,0.46,-13.08,-1.05,-1.69,32.06
0.12,0.85,0.46,-12.52,-0.72,-1.83,32.15
0.13,0.89,0.47,-16.92,3.39,-6.29,32.11
0.12,0.86,0.45,-18.95,1.95,-8.5,32.06
0.12,0.84,0.46,-15.86,0.17,-7.68,32.15
0.12,0.84,0.48,-14.52,1.98,-7.47,32.11
0.12,0.82,0.48,-12.17,3.15,-5.07,32.15
0.14,0.82,0.47,-8.75,2.58,-3.6,32.11
0.14,0.81,0.47,-5.42,0.67,-1.66,32.11
0.13,0.82,0.47,-2.72,0.24,-0.34,32.15
0.12,0.82,0.48,0.61,0.69,2.75,32.11
0.12,0.83,0.47,3.07,0.66,4.96,32.11
0.12,0.85,0.48,1.91,1.98,4.72,32.06
0.12,0.84,0.47,1.39,1.62,5.37,32.2
0.11,0.83,0.46,4.09,0.5,7.34,32.06
0.11,0.82,0.48,7.13,0.96,9.08,32.15
0.12,0.85,0.47,7.42,2.23,8.66,32.11
0.13,0.84,0.46,7.39,0.5,8.73,32.15
0.12,0.82,0.46,9.92,-1.08,11.05,32.11
0.12,0.83,0.46,12.76,-1.33,13.24,32.11
0.14,0.83,0.46,14.72,-2.31,14.79,32.06
0.13,0.84,0.46,15.45,-4.29,15.13,32.06
0.14,0.85,0.46,14.67,-5.4,14.61,32.11
0.15,0.87,0.45,13.27,-5.27,13.53,32.06
0.14,0.88,0.46,11.31,-4.27,12.29,32.11
0.14,0.89,0.46,8.06,-2.11,10.4,32.11
0.14,0.9,0.45,4.26,-1.77,7.98,31.97
0.15,0.89,0.45,2.2,-1.57,4.66,32.01
0.15,0.89,0.44,-0.46,-0.55,0.61,32.11
0.15,0.87,0.44,-2.61,-1.13,-1.24,32.06
0.14,0.85,0.44,-2.41,-1.24,-0.5,32.01
