acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.11,0.91,0.35,-0.81,-2.40,0.89
0.12,0.91,0.35,-2.40,-3.86,0.53
0.13,0.91,0.34,-3.69,-4.17,0.73
0.15,0.91,0.34,-4.84,-4.90,-0.29
0.14,0.90,0.33,-5.85,-6.50,-1.08
0.14,0.89,0.34,-6.31,-6.66,-0.81
0.15,0.89,0.34,-7.27,-7.33,-0.67
0.14,0.89,0.35,-7.79,-6.40,0.06
0.15,0.87,0.35,-8.06,-5.36,0.72
0.15,0.87,0.35,-8.40,-4.99,1.19
0.15,0.87,0.35,-7.92,-4.35,1.33
0.14,0.87,0.35,-6.92,-4.29,0.78
0.15,0.87,0.37,-5.88,-5.27,1.28
0.14,0.86,0.35,-4.23,-5.13,0.32
0.15,0.87,0.37,-4.18,-6.69,3.95
0.14,0.87,0.36,-3.19,-5.44,4.32
0.15,0.87,0.36,-2.79,-4.66,2.35
0.14,0.86,0.36,-2.46,-4.38,-0.38
0.14,0.86,0.36,-1.30,-4.73,-1.94
0.13,0.87,0.35,-0.55,-5.53,-1.82
0.14,0.87,0.36,0.05,-5.37,-1.57
0.14,0.88,0.35,0.35,-4.64,-2.34
0.14,0.87,0.36,0.75,-4.46,-3.83
0.14,0.86,0.38,1.82,-5.08,-5.57
0.14,0.86,0.37,3.10,-5.85,-7.77
0.13,0.86,0.36,3.74,-6.87,-10.06
0.12,0.86,0.37,4.17,-6.37,-12.76
0.14,0.88,0.36,3.91,-5.02,-13.94
0.18,0.89,0.34,3.47,-3.33,-10.05
0.19,0.92,0.33,2.37,-0.50,-7.34
0.17,0.89,0.35,1.88,-1.13,-14.23
0.17,0.88,0.34,4.29,-6.08,-10.95
0.18,0.92,0.31,4.64,-7.33,-3.01
0.16,0.92,0.33,2.92,-5.79,1.94
0.15,0.91,0.34,-0.29,-3.07,3.18
0.13,0.88,0.36,-0.93,-0.56,4.21
0.14,0.88,0.35,-1.01,0.89,3.79
0.15,0.90,0.34,-1.65,0.46,1.76
0.14,0.89,0.34,-0.92,-0.92,1.31
0.14,0.89,0.35,-0.69,-2.56,1.28
0.14,0.90,0.34,-0.76,-4.03,1.73
0.13,0.89,0.35,-1.15,-3.62,2.93
0.14,0.88,0.34,-1.21,-2.43,3.05
0.14,0.89,0.34,-2.53,-1.53,3.65
0.13,0.89,0.34,-2.73,-1.02,4.35
0.15,0.88,0.35,-2.52,-0.89,3.51
0.15,0.88,0.34,-2.21,-1.53,2.32
0.15,0.88,0.34,-1.83,-1.86,1.63
0.14,0.88,0.35,-1.01,-2.43,0.47
0.14,0.87,0.35,-0.50,-2.76,-1.22
0.14,0.87,0.35,0.34,-3.47,-1.85
0.14,0.88,0.34,0.34,-3.56,-0.98
0.14,0.89,0.34,0.32,-3.31,0.46
0.15,0.88,0.35,0.31,-2.14,1.95
0.15,0.89,0.34,-0.09,-0.99,2.66
0.14,0.89,0.33,-0.70,-0.73,3.04
0.15,0.89,0.34,-1.22,0.05,2.89
0.15,0.90,0.33,-1.98,-0.67,3.71
0.15,0.89,0.33,-1.88,-0.20,4.58
0.15,0.89,0.32,-1.42,-0.43,6.58
0.16,0.89,0.33,-1.47,-0.40,8.12
0.16,0.88,0.33,-1.27,0.08,8.72
0.16,0.90,0.32,-1.77,0.20,10.18
0.16,0.88,0.34,-1.08,0.70,10.26
0.17,0.89,0.33,-1.59,0.49,12.12
0.16,0.90,0.35,-2.63,0.84,13.11
0.16,0.89,0.34,-1.76,2.18,12.60
0.14,0.88,0.35,-2.47,0.95,14.21
