acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z,temp
0.17,0.89,0.37,-2.79,0.31,0.17,32.39
0.17,0.89,0.37,-3.1,0.31,0.24,32.25
0.17,0.89,0.38,-3.1,0.81,0.37,32.39
0.18,0.89,0.37,-2.56,0.34,0.35,32.34
0.18,0.89,0.37,-2.2,0.37,0.46,32.44
0.17,0.89,0.36,-2.11,0.32,0.64,32.29
0.17,0.89,0.36,-2.4,0.08,0.61,32.34
0.18,0.89,0.37,-1.92,0.38,0.78,32.34
0.17,0.89,0.37,-1.4,-0.14,0.67,32.29
0.17,0.89,0.37,-1.57,-0.38,0.47,32.39
0.17,0.89,0.36,-1.82,-0.05,0.52,32.34
0.17,0.89,0.36,-1.69,0.4,0.64,32.29
0.17,0.9,0.37,-1.98,0.15,0.61,32.29
0.17,0.89,0.37,-1.66,-0.06,0.18,32.44
0.18,0.89,0.36,-1.51,-0.23,0.53,32.48
0.17,0.89,0.38,-1.69,0.31,0.64,32.34
0.18,0.88,0.37,-3.98,1.76,1.08,32.34
0.17,0.89,0.38,-3.1,1.45,0.92,32.34
0.18,0.88,0.38,-2.69,1.3,0.89,32.29
0.18,0.89,0.38,-2.32,1.19,0.81,32.34
0.18,0.88,0.39,-1.97,2.14,1.08,32.25
0.18,0.88,0.38,-1.3,2.63,2.02,32.39
0.18,0.88,0.37,-0.46,3.85,2.37,32.44
0.18,0.9,0.38,-0.18,4.46,3.02,32.34
0.18,0.88,0.38,1.42,4.0,4.9,32.29
0.18,0.88,0.37,2.26,4.89,5.79,32.34
0.18,0.9,0.37,2.24,5.47,6.03,32.34
0.18,0.9,0.37,0.26,5.33,4.99,32.29
0.17,0.91,0.37,-1.88,4.79,4.12,32.34
0.17,0.89,0.38,-1.45,6.2,5.56,32.34
0.17,0.89,0.38,-1.18,7.74,6.82,32.39
0.17,0.9,0.37,-1.77,7.07,5.68,32.34
0.18,0.91,0.36,-3.71,4.23,2.82,32.34
0.17,0.91,0.37,-5.31,1.92,0.27,32.29
0.16,0.91,0.37,-5.73,2.2,-0.67,32.25
0.17,0.9,0.39,-5.36,3.39,0.27,32.44
0.16,0.88,0.39,-4.63,3.33,1.5,32.29
0.18,0.89,0.36,-3.94,1.57,1.37,32.25
0.18,0.89,0.38,-3.97,0.81,0.98,32.25
0.17,0.89,0.38,-4.24,1.59,0.58,32.39
0.16,0.89,0.39,-5.18,2.7,0.73,32.34
0.17,0.9,0.38,-5.11,1.8,2.05,32.44
0.18,0.9,0.34,-3.51,1.45,2.81,32.39
0.18,0.88,0.37,-0.67,0.89,4.95,32.25
0.17,0.9,0.39,-0.44,1.3,5.94,32.34
0.18,0.9,0.37,0.41,3.19,6.24,32.29
0.19,0.89,0.37,1.11,3.24,6.53,32.34
0.18,0.89,0.37,1.97,1.53,7.28,32.34
0.18,0.88,0.38,2.73,1.37,7.28,32.39
0.18,0.88,0.38,2.49,2.08,6.72,32.34
0.18,0.89,0.37,3.39,2.47,7.24,32.34
0.17,0.9,0.38,3.21,1.91,8.03,32.2
0.18,0.89,0.36,2.27,0.49,7.76,32.34
0.16,0.89,0.38,0.02,-0.89,7.24,32.34
0.14,0.92,0.4,-3.01,-0.95,5.68,32.29
0.13,0.93,0.37,-1.44,-0.35,5.86,32.34
0.16,0.92,0.35,1.56,-1.27,6.44,32.44
0.18,0.92,0.35,3.08,-2.92,6.84,32.29
0.18,0.93,0.34,4.67,-4.2,7.18,32.34
0.21,0.93,0.35,5.34,-3.13,5.95,32.34
0.21,0.9,0.35,5.51,-3.56,5.97,32.2
0.2,0.89,0.37,8.99,-3.36,9.53,32.34
0.2,0.85,0.36,15.4,-0.46,14.64,32.34
0.22,0.83,0.33,23.71,-0.11,21.16,32.39
0.24,0.77,0.35,30.27,-3.1,26.14,32.44
0.24,0.76,0.39,37.15,-7.92,34.05,32.34
0.25,0.74,0.39,43.22,-6.05,39.71,32.39
