acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z,temp
0.2,0.86,0.41,-2.03,-0.05,0.31,33.94
0.2,0.86,0.42,-1.68,-0.53,0.72,33.94
0.19,0.87,0.43,-1.65,-0.35,0.85,33.94
0.19,0.86,0.41,-1.85,0.02,0.56,33.8
0.19,0.87,0.41,-1.62,0.14,0.89,33.99
0.19,0.86,0.42,-1.57,0.27,0.82,33.85
0.19,0.86,0.42,-1.63,0.38,0.67,33.85
0.2,0.87,0.41,-1.44,0.2,1.01,33.99
0.19,0.88,0.42,-1.48,0.24,0.85,33.94
0.2,0.87,0.42,-1.18,0.58,0.63,33.85
0.2,0.87,0.42,-1.07,0.92,0.41,33.89
0.19,0.87,0.42,-1.31,0.82,0.63,33.89
0.19,0.86,0.41,-1.15,0.95,1.28,33.94
0.2,0.87,0.41,-0.26,1.85,1.65,33.99
0.19,0.87,0.42,0.17,3.37,1.21,33.89
0.2,0.88,0.41,0.14,3.3,1.39,33.85
0.18,0.87,0.41,-1.82,4.5,0.43,33.89
0.19,0.87,0.43,-2.55,3.71,0.53,33.85
0.2,0.85,0.42,-0.14,4.92,2.67,33.94
0.2,0.87,0.41,-0.02,5.08,2.5,33.89
0.2,0.87,0.42,-0.82,3.27,1.8,33.94
0.2,0.88,0.42,-2.2,3.1,-0.53,33.94
0.2,0.88,0.41,-3.73,3.71,-2.06,33.89
0.19,0.87,0.41,-4.63,3.21,-2.98,33.89
0.18,0.88,0.41,-5.79,2.41,-4.06,33.94
0.17,0.88,0.42,-6.79,2.41,-6.35,33.94
0.18,0.87,0.42,-7.5,2.05,-6.17,33.89
0.18,0.89,0.42,-9.07,2.85,-7.65,33.94
0.18,0.9,0.45,-11.77,5.21,-9.63,33.85
0.19,0.91,0.45,-17.85,11.18,-14.99,33.89
0.19,0.87,0.45,-20.79,11.82,-14.81,33.94
0.19,0.87,0.45,-26.35,12.72,-14.99,33.85
0.19,0.91,0.42,-31.73,12.32,-20.38,33.99
0.23,0.83,0.49,-35.21,14.7,-21.53,33.89
0.18,0.83,0.47,-34.52,12.46,-16.96,33.85
0.17,0.83,0.47,-29.39,12.37,-13.28,33.85
0.17,0.83,0.45,-22.41,15.82,-9.22,33.8
0.16,0.88,0.44,-20.98,17.83,-10.76,33.94
0.15,0.9,0.4,-22.14,15.28,-14.75,33.85
0.1,0.92,0.39,-22.18,6.21,-17.74,33.89
0.07,0.94,0.42,-22.52,4.52,-26.11,33.89
0.07,0.91,0.43,-22.02,1.68,-30.11,33.94
0.08,0.88,0.48,-22.09,-0.03,-28.34,33.94
0.1,0.83,0.48,-17.94,2.85,-22.72,33.89
0.14,0.81,0.47,-13.53,3.94,-16.0,33.85
0.15,0.81,0.47,-13.45,1.1,-13.39,33.94
0.15,0.78,0.49,-13.02,-4.29,-11.71,33.99
0.16,0.76,0.47,-8.89,-8.46,-6.11,33.85
0.15,0.75,0.49,-2.7,-15.47,1.68,33.94
0.13,0.78,0.51,2.52,-18.96,8.89,33.89
0.15,0.79,0.5,8.09,-12.11,10.92,33.8
0.15,0.79,0.49,13.8,-12.29,15.63,33.85
0.14,0.78,0.45,20.56,-23.13,22.27,33.94
0.12,0.75,0.43,34.53,-35.94,37.4,33.89
0.13,0.77,0.42,53.02,-43.89,53.76,33.89
0.12,0.8,0.48,65.73,-41.79,65.91,33.94
0.1,0.82,0.51,75.19,-33.19,76.58,33.85
0.15,0.78,0.45,86.37,-26.61,84.52,33.89
0.11,0.68,0.52,107.54,-23.86,109.73,33.85
0.13,1.03,0.33,88.75,-31.15,88.58,33.85
0.28,1.17,0.22,59.56,-32.44,51.8,33.89
