acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z,temp
0.21,0.9,0.35,2.2,-1.88,-0.02,32.2
0.2,0.89,0.35,1.25,-2.08,-0.44,32.06
0.2,0.89,0.37,1.04,-1.76,-0.34,32.11
0.2,0.89,0.36,0.41,-1.51,-0.5,32.06
0.2,0.89,0.35,0.47,-1.51,-0.27,32.11
0.2,0.89,0.35,-0.02,-1.5,-0.76,32.11
0.2,0.89,0.36,-0.24,-1.45,-1.01,32.06
0.2,0.89,0.36,-0.49,-1.45,-0.96,32.06
0.2,0.89,0.36,-0.03,-1.34,-0.93,32.2
0.2,0.9,0.36,0.0,-1.39,-0.73,32.15
0.2,0.89,0.35,-0.03,-1.48,-0.47,32.2
0.2,0.89,0.36,-0.05,-1.28,-0.69,32.2
0.2,0.89,0.36,0.35,-1.45,-0.52,32.15
0.2,0.9,0.36,0.05,-1.62,-0.98,32.11
0.21,0.88,0.36,0.56,-1.39,-0.03,32.29
0.2,0.88,0.35,0.85,-1.01,0.4,32.06
0.2,0.9,0.36,-0.34,-1.42,-0.82,32.15
0.2,0.9,0.35,-0.38,-1.62,-0.93,32.2
0.2,0.89,0.35,-0.7,-1.47,-1.18,32.25
0.2,0.89,0.36,-0.61,-1.07,-1.08,32.06
0.2,0.89,0.35,-0.81,-1.08,-0.98,32.2
0.21,0.89,0.35,-0.63,-1.11,-1.25,32.15
0.2,0.9,0.34,-0.58,-0.81,-0.78,32.15
0.21,0.9,0.36,-0.72,-0.82,-1.11,32.11
0.2,0.89,0.36,-0.64,-0.52,-0.9,32.25
0.2,0.9,0.35,-0.34,-0.32,-0.31,32.2
0.2,0.89,0.35,-0.27,-0.67,-0.06,32.2
0.2,0.89,0.35,-0.05,-0.53,0.41,32.06
0.2,0.89,0.35,-0.6,0.29,0.72,32.11
0.2,0.89,0.36,0.03,1.18,2.26,32.11
0.2,0.89,0.36,1.56,2.49,3.73,32.15
0.2,0.9,0.33,2.4,2.79,3.94,32.11
0.21,0.9,0.32,2.85,2.43,4.69,32.06
0.21,0.91,0.32,3.07,2.4,4.89,32.06
0.21,0.91,0.33,1.94,2.06,2.95,32.11
0.2,0.92,0.32,0.81,0.96,1.02,32.15
0.2,0.9,0.34,0.15,0.47,-1.05,32.11
0.19,0.92,0.36,-1.86,0.05,-1.53,32.2
0.18,0.91,0.35,-3.79,0.03,-1.21,32.25
0.18,0.91,0.35,-3.91,0.4,-1.48,32.2
0.19,0.91,0.35,-4.14,0.6,-2.11,32.11
0.2,0.9,0.34,-3.98,-0.4,-3.13,32.15
0.18,0.91,0.36,-4.35,-1.65,-3.42,32.11
0.18,0.92,0.36,-4.69,-1.24,-2.93,32.11
0.18,0.92,0.35,-4.02,-0.46,-2.02,32.06
0.16,0.94,0.36,-5.83,-2.29,-1.89,32.11
0.13,0.96,0.33,-7.71,-5.31,-2.87,32.06
0.1,1.01,0.33,-11.59,-10.75,-5.63,32.15
0.04,1.05,0.36,-18.63,-17.33,-9.21,32.11
0.08,1.0,0.35,-14.02,-11.04,-4.64,32.06
0.18,0.93,0.32,-5.85,1.62,1.01,32.06
0.22,0.92,0.34,-8.32,1.66,0.06,32.01
0.28,0.87,0.35,-12.53,0.14,-1.48,32.06
0.31,0.8,0.35,-15.59,2.15,-2.73,32.2
0.29,0.8,0.34,-7.62,6.35,-0.35,32.11
0.28,0.8,0.33,-4.08,4.18,-0.18,32.15
0.26,0.8,0.35,1.48,0.78,1.92,32.11
0.24,0.8,0.34,9.8,0.66,5.5,32.01
0.25,0.79,0.34,18.26,1.1,10.84,32.15
0.26,0.78,0.36,25.91,-2.76,15.83,32.2
0.27,0.75,0.37,32.9,-5.27,21.62,32.25
0.27,0.74,0.38,40.67,-4.21,29.98,32.11
0.26,0.77,0.37,44.41,-5.68,36.41,32.2
0.23,0.81,0.35,44.44,-9.68,40.2,32.15
0.23,0.83,0.36,44.34,-9.44,42.78,32.2
0.21,0.81,0.35,45.48,-8.37,44.03,32.2
0.23,0.82,0.35,46.87,-11.3,43.45,32.15
0.25,0.83,0.35,46.93,-13.02,43.66,32.11
0.26,0.84,0.34,46.47,-13.28,44.63,32.2
0.27,0.85,0.36,46.85,-13.63,47.42,32.15
0.3,0.85,0.35,47.63,-11.71,51.73,32.11
0.32,0.83,0.31,47.89,-11.31,55.01,32.25
0.32,0.87,0.3,43.57,-10.93,53.05,32.15
0.32,0.91,0.28,40.17,-8.66,50.82,32.29
0.3,1.0,0.26,32.87,-8.5,44.03,32.25
0.31,1.02,0.21,27.08,-7.8,39.86,32.29
0.31,0.96,0.21,18.41,-5.68,33.48,32.29
0.32,0.93,0.23,13.94,-0.44,28.34,32.25
0.35,0.88,0.23,5.07,0.58,22.14,32.29
0.32,1.01,0.24,-6.09,-4.0,14.15,32.29
0.34,0.99,0.23,-11.92,0.32,9.4,32.25
0.32,1.03,0.21,-28.02,1.27,-2.41,32.39
0.33,1.02,0.22,-33.07,8.55,-7.11,32.25
0.37,0.95,0.25,-43.07,17.86,-16.87,32.34
0.38,0.93,0.22,-52.81,22.26,-25.33,32.29
0.33,0.94,0.21,-57.22,26.6,-29.98,32.34
0.32,0.92,0.23,-58.38,30.61,-33.71,32.39
0.2,1.05,0.27,-70.03,24.15,-50.31,32.39
0.2,1.0,0.27,-67.56,21.36,-48.58,32.44
0.3,0.9,0.26,-46.46,29.73,-37.47,32.39
0.21,0.95,0.25,-47.53,26.85,-40.81,32.48
0.07,1.09,0.4,-60.08,21.5,-53.56,32.34
0.05,1.12,0.41,-59.3,27.94,-52.85,32.39
0.15,1.03,0.34,-40.31,36.49,-42.79,32.39
0.24,0.88,0.29,-32.23,29.88,-35.22,32.53
0.21,0.88,0.34,-24.61,28.0,-28.63,32.39
0.22,0.9,0.4,-18.17,38.24,-21.79,32.39
0.22,0.89,0.37,-13.02,43.79,-15.33,32.44
0.22,0.93,0.37,-12.87,41.8,-15.98,32.39
0.22,0.89,0.38,-15.56,38.26,-17.3,32.44
