acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.24,0.78,0.5,1.31,-0.20,-2.46
0.25,0.78,0.49,2.12,-2.84,-3.27
0.25,0.78,0.49,2.93,-3.76,-3.66
0.25,0.77,0.49,3.54,-4.41,-5.01
0.25,0.77,0.48,3.76,-3.54,-6.41
0.25,0.78,0.47,3.65,-1.51,-7.19
0.25,0.80,0.46,2.89,-0.31,-6.41
0.26,0.80,0.46,2.63,0.67,-5.15
0.26,0.81,0.45,2.81,1.30,-3.85
0.25,0.80,0.45,3.54,-0.05,-2.95
0.25,0.80,0.45,3.80,-0.26,-1.97
0.25,0.80,0.46,3.31,-0.21,-1.11
0.25,0.81,0.47,2.27,0.18,-0.37
0.24,0.81,0.47,0.69,0.79,-0.11
0.25,0.81,0.47,-0.67,1.04,-0.69
0.25,0.81,0.46,-1.45,0.76,-1.37
0.24,0.80,0.47,-1.31,0.21,-1.36
0.25,0.80,0.46,-1.44,-0.03,-0.87
0.25,0.80,0.46,-1.53,0.17,-0.31
0.25,0.81,0.47,-1.42,0.43,0.11
0.24,0.80,0.47,-0.92,0.23,-0.56
0.24,0.80,0.48,-0.63,-0.17,-0.47
0.24,0.80,0.47,-0.66,-0.50,0.12
0.22,0.80,0.46,-0.93,-0.67,0.69
0.23,0.80,0.46,-1.33,-0.92,1.04
0.24,0.80,0.46,-2.41,-0.89,1.44
0.24,0.80,0.46,-3.18,-0.95,1.57
0.23,0.80,0.46,-3.53,-1.30,1.33
0.23,0.80,0.46,-3.42,-1.80,1.10
0.23,0.80,0.46,-3.51,-2.32,0.35
0.23,0.79,0.47,-3.45,-2.82,0.72
0.23,0.80,0.46,-3.76,-2.67,1.57
0.24,0.80,0.46,-3.94,-2.79,2.40
0.24,0.79,0.47,-3.18,-2.69,2.93
0.24,0.80,0.47,-3.13,-2.76,3.37
0.25,0.79,0.47,-3.13,-2.69,3.63
0.25,0.79,0.47,-3.39,-1.98,3.31
0.26,0.79,0.47,-3.05,-1.50,3.36
0.26,0.80,0.48,-3.02,-1.01,3.02
0.26,0.80,0.47,-2.66,-0.98,3.07
0.25,0.79,0.47,-2.55,-1.07,2.81
0.25,0.79,0.47,-2.31,-1.16,2.35
0.25,0.80,0.48,-2.35,-1.18,2.31
0.25,0.79,0.48,-2.32,-1.15,2.02
0.24,0.79,0.47,-2.31,-1.28,1.28
0.25,0.79,0.47,-2.49,-0.70,0.66
